"Index","Blockno","UnixTimestamp","DateTime (UTC)","Validator Index","Recipient","Recipient_PrivateTag","Value"
"75407834","21747950","1738368011","2025-02-01 00:00:11","1103203","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019072511 ETH"
"75407833","21747950","1738368011","2025-02-01 00:00:11","1103202","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019107291 ETH"
"75407832","21747950","1738368011","2025-02-01 00:00:11","1103201","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019043588 ETH"
"75407831","21747950","1738368011","2025-02-01 00:00:11","1103200","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.064671767 ETH"
"75407830","21747950","1738368011","2025-02-01 00:00:11","1103199","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019079215 ETH"
"75407829","21747950","1738368011","2025-02-01 00:00:11","1103198","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019094972 ETH"
"75407828","21747950","1738368011","2025-02-01 00:00:11","1103197","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019093682 ETH"
"75407827","21747950","1738368011","2025-02-01 00:00:11","1103196","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019063987 ETH"
"75407826","21747950","1738368011","2025-02-01 00:00:11","1103195","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019051747 ETH"
"75407825","21747950","1738368011","2025-02-01 00:00:11","1103194","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019100199 ETH"
"75407824","21747950","1738368011","2025-02-01 00:00:11","1103193","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.064672692 ETH"
"75407823","21747950","1738368011","2025-02-01 00:00:11","1103192","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019041265 ETH"
"75407822","21747950","1738368011","2025-02-01 00:00:11","1103191","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.018997432 ETH"
"75407821","21747950","1738368011","2025-02-01 00:00:11","1103190","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019040986 ETH"
"75407820","21747950","1738368011","2025-02-01 00:00:11","1103189","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.01902754 ETH"
"75407819","21747950","1738368011","2025-02-01 00:00:11","1103188","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019050931 ETH"
"75407850","21747951","1738368023","2025-02-01 00:00:23","1103219","0x12629df71143d67ad3f61931ff8b80d16d99211f","-","0.019066638 ETH"
